date	role	query	anchors_served	hit
2026-07-27T03:21:58Z	coding	--paths crates/simthing-core/src/evaluate.rs crates/simthing-driver/src/min_plus_traversal_field.rs crates/simthing-core/src/simthing.rs docs/design_0_0_8_7_rf_arena_modernization.md	field-policy-time-decisions,founding-ontology-invariants,property-value-rf-overlays,rf-arena-substrate,simthing-0087-binding-laws,simthing-0087-pillars,stead-spatial-contract-core,structural-execution-convergence,workshop-candidate-homing	hit
2026-07-27T03:53:13Z	coding	--paths crates/simthing-core/src/evaluate.rs crates/simthing-core/src/simthing.rs crates/simthing-driver/src/min_plus_traversal_field.rs crates/simthing-driver/src/install.rs docs/design_0_0_8_7_rf_arena_modernization.md scripts/ci/test_inventory.tsv	field-policy-time-decisions,founding-ontology-invariants,orientation-harness-core,property-value-rf-overlays,rf-arena-substrate,scanner-selftest-delta-gate,simthing-0087-binding-laws,simthing-0087-pillars,stead-spatial-contract-core,structural-execution-convergence,workshop-candidate-homing	hit
2026-07-27T14:45:48Z	coding	--domain core-0087	rf-arena-substrate,simthing-0087-binding-laws,simthing-0087-pillars	hit
2026-07-27T14:45:49Z	coding	--domain rf-arena-substrate	none	none
2026-07-27T14:45:49Z	coding	--domain structural-execution	structural-execution-convergence	hit
2026-07-27T14:45:49Z	coding	--domain field-policy	field-policy-time-decisions	hit
2026-07-27T14:45:49Z	coding	--domain founding-ontology	founding-ontology-invariants	hit
2026-07-27T14:45:49Z	coding	--domain clausething	clausething-closed-vertical	hit
2026-07-27T14:45:49Z	coding	--domain workshop-candidate	none	none
2026-07-27T14:45:50Z	coding	--domain scanner-selftest	none	none
2026-07-27T14:45:50Z	coding	--domain orientation-harness	none	none
2026-07-27T21:59:14Z	coding	--grep order-weight	simthing-0087-pillars	hit
2026-07-27T21:59:14Z	coding	--grep ORDER-WEIGHT	simthing-0087-pillars	hit
2026-07-27T21:59:14Z	coding	--grep order weight	none	none
